Livro,Autor,Ano,Área,Caminho_SSD
Manual de Direito Administrativo - Volume Único - João Trindade e Gustavo Scatolino - 2016 (1),Não identificado,2016,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual de Direito Administrativo - Volume Único - João Trindade e Gustavo Scatolino - 2016 (1).md
Manual de Direito Administrativo - Volume Único - João Trindade e Gustavo Scatolino - 2016,Não identificado,2016,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual de Direito Administrativo - Volume Único - João Trindade e Gustavo Scatolino - 2016.md
Manual De Direito Administrativo Alexandre Mazza 13ED 2023,Unknown,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual De Direito Administrativo Alexandre Mazza 13ED 2023.md
manual de direito administrativo carvalhinho,DADOS INTERNACIONAIS DE CATALOGAÇÃO NA PUBLICAÇÃO,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\manual de direito administrativo carvalhinho.md
"Manual de Direito Administrativo, Mateus Carvalho, 2015, 2 Ed. (1)",MATHEUS CARVALHO,2015,administrativo,"D:\doutora-ia\direito\ebooksmds\administrativo\Manual de Direito Administrativo, Mateus Carvalho, 2015, 2 Ed. (1).md"
"Manual de Direito Administrativo, Mateus Carvalho, 2015, 2 Ed.",Não Identificado,Não Identificado,Geral,"D:\doutora-ia\direito\ebooksmds\administrativo\Manual de Direito Administrativo, Mateus Carvalho, 2015, 2 Ed..md"
Manual de Direito Administrativo,GUSTAVO SCATOLINO SILVA,2017,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual de Direito Administrativo.md
Manual_de_Direito_Administrativo_2018_Joseģ_dos_Santos_Carvalho,Zamzar,2018,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual_de_Direito_Administrativo_2018_Joseģ_dos_Santos_Carvalho.md
Manual_de_Direito_Administrativo_José_dos_Santos_Carvalho_Filho,DADOS INTERNACIONAIS DE CATALOGAÇÃO NA PUBLICAÇÃO,2017,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual_de_Direito_Administrativo_José_dos_Santos_Carvalho_Filho.md
Manual_de_Direito_Administrativo_Licitaes_e_Contratos_Administrativos,Rafael Carvalho Rezende,2018,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual_de_Direito_Administrativo_Licitaes_e_Contratos_Administrativos.md
Manual_de_Direito_Administrativo_Volume_01_Thiago_Marrara_2024,Thiago Marrara,2024,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual_de_Direito_Administrativo_Volume_01_Thiago_Marrara_2024.md
Manual_de_Improbidade_Administrativa_José_dos_Santos_Carvalho_Filho,CATALOGAÇÃO NA FONTE,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual_de_Improbidade_Administrativa_José_dos_Santos_Carvalho_Filho.md
Mapas Mentais - 2023 - Direito Administrativo,Laura Amorim,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Mapas Mentais - 2023 - Direito Administrativo.md
Mapas_Mentais_2023_Direito_Administrativo_Nova_Lei_de_Licitações,Laura Amorim,2022,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Mapas_Mentais_2023_Direito_Administrativo_Nova_Lei_de_Licitações.md
Mapas_Mentais_2023_Direito_Administrativo_Regime_Jurídico_Único,DWDOKR,2022,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Mapas_Mentais_2023_Direito_Administrativo_Regime_Jurídico_Único.md
Precedentes_no_Direito_Administrativo_Rafael_Carvalho_Rezende_Oliveira,Rafael Carvalho Rezende,2018,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Precedentes_no_Direito_Administrativo_Rafael_Carvalho_Rezende_Oliveira.md
Rafael Oliveira Curso de Direito Administrativo ed2022,Unknown,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Rafael Oliveira Curso de Direito Administrativo ed2022.md
Ricardo Alexandre - Direito Administrativo,Não identificado,2015,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Ricardo Alexandre - Direito Administrativo.md
_Mapas Mentais - Improbidade Administrativa44444444444,Adriana Mendonça,2025,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\_Mapas Mentais - Improbidade Administrativa44444444444.md
2023 - LEGISLAÇÃO AMBIENTAL E URBANÍSTICA,LEGISLAÇÃO AMBIENTAL,2023,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\2023 - LEGISLAÇÃO AMBIENTAL E URBANÍSTICA.md
360 - Legislação Ambiental e Urbanística - 2023.1,INDICAÇÃO DOS PRINCIPAIS ARTIGOS,2023,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\360 - Legislação Ambiental e Urbanística - 2023.1.md
Ambiental LD,CÓDIGO FLORESTAL,2019,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\Ambiental LD.md
Ambiental_2017_Direito_Ambiental_Leis_Especiais_Leonardo_de_Medeiros,PROVAS,2016,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\Ambiental_2017_Direito_Ambiental_Leis_Especiais_Leonardo_de_Medeiros.md
Cadernos Sistematizados – 2025 - Direito Ambiental,NOÇÕES INTRODUTÓRIAS,2025,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\Cadernos Sistematizados – 2025 - Direito Ambiental.md
Curso_de_Direito_Agroambiental_Brasileiro_Antonio_José_de_Mattos,Antonio José de,2018,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\Curso_de_Direito_Agroambiental_Brasileiro_Antonio_José_de_Mattos.md
DIREITO AMBIENTAL,Bruno Sette,2014,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\DIREITO AMBIENTAL.md
Direito_Agrário_Rafael_Freiria_e_Taisa_Dosso_Sinopse_Juspodivm,LEONARDO DE MEDEIROS GARCIA,2016,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\Direito_Agrário_Rafael_Freiria_e_Taisa_Dosso_Sinopse_Juspodivm.md
Diálogos_de_Direito_Animal_Gisele_Kronhardt_Scheffer_2019,Gisele Kronhardt Scheffer,2019,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\Diálogos_de_Direito_Animal_Gisele_Kronhardt_Scheffer_2019.md
EBOOK - DIREITO AMBIENTAL,CP Iuris,2019,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\EBOOK - DIREITO AMBIENTAL.md
IURIS - Direito Ambiental - Vol. 10 - 2025,Rafael Santos Rocha,2025,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\IURIS - Direito Ambiental - Vol. 10 - 2025.md
LEGISLAÇÃO AMBIENTAL E URBANÍSTICA - 2023.1 - 08.06.2023,LEGISLAÇÃO AMBIENTAL,2023,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\LEGISLAÇÃO AMBIENTAL E URBANÍSTICA - 2023.1 - 08.06.2023.md
Legislação e direito ambiental,Não identificado,2016,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\Legislação e direito ambiental.md
Manual Caseiro - Direito Ambiental - 2020,MANUAL CASEIRO,2020,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\Manual Caseiro - Direito Ambiental - 2020.md
O Vício de Agradar a Todos - Joyce Meyer,Joyce Meyer,2024,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\O Vício de Agradar a Todos - Joyce Meyer.md
VadeMecum_do_Agronegócio_–_2025_Joviano_Cardoso_de_Paula_Júnior,Joviano Cardoso de,2025,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\VadeMecum_do_Agronegócio_–_2025_Joviano_Cardoso_de_Paula_Júnior.md
_2020_Livro_Direito_Ambiental_Esquematizado_Marcelo_Abelha_Rodrigues1,Coleção Esquematizado,2020,ambiental,D:\doutora-ia\direito\ebooksmds\ambiental\_2020_Livro_Direito_Ambiental_Esquematizado_Marcelo_Abelha_Rodrigues1.md
#Ação_de_Inventário_e_Partilha_Teoria_e_Prática_2016_J_E_Carreira,AÇÃO DE INVENTÁRIO,2016,civil,D:\doutora-ia\direito\ebooksmds\civil\#Ação_de_Inventário_e_Partilha_Teoria_e_Prática_2016_J_E_Carreira.md
#Inventário_e_Partilha_Teoria_e_Prática_2016_Euclides_Benedito,Unknown,2017,civil,D:\doutora-ia\direito\ebooksmds\civil\#Inventário_e_Partilha_Teoria_e_Prática_2016_Euclides_Benedito.md
#Manual de Prática Forense Civil (2017),Unknown,2017,civil,D:\doutora-ia\direito\ebooksmds\civil\#Manual de Prática Forense Civil (2017).md
#Novo Curso de Direito Civil 4 Contratos Pablo Stolze Gagliano e Rodolfo Pamplona Filho 2019,Pablo Stolze Gagliano,2019,civil,D:\doutora-ia\direito\ebooksmds\civil\#Novo Curso de Direito Civil 4 Contratos Pablo Stolze Gagliano e Rodolfo Pamplona Filho 2019.md
(2021) Manual de Direito Processual Civil - Vol. Único - Daniel Amorim Assumpção Neves,Não identificado,2021,civil,D:\doutora-ia\direito\ebooksmds\civil\(2021) Manual de Direito Processual Civil - Vol. Único - Daniel Amorim Assumpção Neves.md
(2022.1) Código Civil e LINDB,Gerson Cavalcante,2022,civil,D:\doutora-ia\direito\ebooksmds\civil\(2022.1) Código Civil e LINDB.md
(AN) manual de direito civil vol único (AN),Pablo Stolze Gagliano,2019,civil,D:\doutora-ia\direito\ebooksmds\civil\(AN) manual de direito civil vol único (AN).md
03. Contratos Administrativos,DIOGO SURDI,2020,civil,D:\doutora-ia\direito\ebooksmds\civil\03. Contratos Administrativos.md
06 - CÓDIGO CIVIL E LINDB - 2024.1 - 02.01.2024,Gerson Cavalcante,2024,civil,D:\doutora-ia\direito\ebooksmds\civil\06 - CÓDIGO CIVIL E LINDB - 2024.1 - 02.01.2024.md
08 - LEGISLAÇÃO CIVIL ESPECIAL - 2024.1 - 25.01.2024,CIVIL ESPECIAL,2024,civil,D:\doutora-ia\direito\ebooksmds\civil\08 - LEGISLAÇÃO CIVIL ESPECIAL - 2024.1 - 25.01.2024.md
1876_Prtica_no_Processo_Civil_Gediel_Claudino_de_Arujo_Junior_2016,Gediel Claudino de,2016,civil,D:\doutora-ia\direito\ebooksmds\civil\1876_Prtica_no_Processo_Civil_Gediel_Claudino_de_Arujo_Junior_2016.md
1CÓDIGO CIVIL COMENTADO_Artigo_por_Artigo (2024),Ulisses Vieira Moreira,2025,civil,D:\doutora-ia\direito\ebooksmds\civil\1CÓDIGO CIVIL COMENTADO_Artigo_por_Artigo (2024).md
2. Direito Civil - Direito das Obrigações e Responsabilidade Civil - 2017 - Flávio Tartuce,BENEDITO MUSTAFÉ,2017,civil,D:\doutora-ia\direito\ebooksmds\civil\2. Direito Civil - Direito das Obrigações e Responsabilidade Civil - 2017 - Flávio Tartuce.md
